meeting_date,body,case,title
2023-10-13,Board of Architectural Review Work Session,BARWS23-076,127-133 Park St NE - Vienna Courts - Work Session
2023-10-11,Planning Commission,PC23-217,"Discussion of Potential Code Amendments to Enhance Tree Canopy, For Recommendation to Town Council"
2023-09-28,Board of Architectural Review Work Session,BARWS23-075,101 Maple Avenue E - Patrick Henry Library - Work Session
2023-09-27,Planning Commission,PC23-215,"Public Hearing On Potential Code Amendments to Enhance Tree Canopy, Followed by Discussion"
2023-09-21,Board of Architectural Review,BAR23-433,145 Church St NW - Bognet Construction - Exterior Modification
2023-09-21,Board of Architectural Review,BAR23-432,139 Church St NW - Bognet Constriction - Exterior Modification
2023-09-21,Board of Architectural Review,BAR23-431,419A Maple Ave E - iCode - Sign
2023-09-21,Board of Architectural Review,BAR23-430,374 Maple Ave W - Tango Pastry (Sunrise) - Signs
2023-09-21,Board of Architectural Review,BAR23-429,124 Branch Rd SE - Kaizen MMA - Sign
2023-09-21,Board of Architectural Review,BAR23-428,501 Maple Ave W - Yellow Diner - Signs
2023-09-21,Board of Architectural Review,BAR23-427,308 Maple Ave E - TD Bank - Signs
2023-09-21,Board of Architectural Review,BAR23-426,308 Maple Ave E - TD Bank - Exterior Modifications
2023-09-21,Board of Architectural Review,BAR23-425,377 Maple Ave W - The Maple Room - Exterior Modifications
2023-09-13,Planning Commission,PC23-213,"Presentation and Discussion of Potential Code Amendments to Enhance Tree Canopy, and Amendments to Tree Board and/or Creation of an Independent Tree Commission"
2023-08-23,Planning Commission,PC23-212,Code Create: Review Public Testimony and Develop Final Recommendation Letter to Town Council on Draft Chapter 18 - Zoning and Subdivision
2023-08-17,Board of Architectural Review,BAR23-424,Commonwealth Home Design - 208 Dominion Rd NE - Wall Mural
2023-08-17,Board of Architectural Review,BAR23-423,HBC Tax & Accounting - 360 Maple Ave W Suite D - Sign
2023-08-17,Board of Architectural Review,BAR23-422,Tobacco Lion - 512 Maple Ave W - Sign
2023-08-11,Board of Architectural Review Work Session,BARWS23-074,419A Maple Ave E-iCODE-Work Session
2023-08-02,Planning Commission Work Session,PCWS23-128,Code Create Vienna: Review of public comments on Draft Chapter 18 and Preparation of Recommendations to Town Council
2023-08-01,Windover Heights Board of Review,23-3917,"Request for a Certificate of Appropriateness for exterior alterations to the existing dwelling located at 125 Pleasant St. NW, per Sec. 18-280.4., Docket No WHBR- 1051134-23 in the RS-16, single-family detached residential zoning district; filed by Brad Zombro of Customized Office Enterprises on behalf Charles and Laura Anderson, property owners."
2023-07-20,Board of Architectural Review,BAR23-421,127 Center St S - Recommendations to Town of Vienna for updated Code.
2023-07-20,Board of Architectural Review,BAR23-420,139 Church St NW - Bognet Construction - Exterior Modifications
2023-07-20,Board of Architectural Review,BAR23-419,139 Church St NW - Bognet Construction - Master Sign Plan
2023-07-20,Board of Architectural Review,BAR23-418,319 Mill St NE - Vienna Matclub Inc - Sign
2023-07-20,Board of Architectural Review,BAR23-417,512 Maple Ave W - Tobacco Lion - Signs
2023-07-20,Board of Architectural Review,BAR23-416,377 Maple Ave W - The Maple Room - Exterior Modifications (Revision)
2023-07-19,Board of Zoning Appeals,BZA-23093,"Request for approval of a variance from Sec. 18-24. - Area requirements. E., Rear yard., of the Town of Vienna Zoning Code, to construct a screened porch on the rear of an existing single-family dwelling located at 411 Upham Place, NW, in the RS-12.5, Single-Family Detached Residential zone. The Zoning Code requires a rear setback of 35’; if approved, the screened porch will have a 19’ setback from the property line for a width of 22’. Application filed by Michael Petrusic, property owner."
2023-07-12,Planning Commission Work Session,PCWS23-127,Code Create Vienna: Review of Draft Chapter 18 - Zoning and Subdivision Ordinance
2023-07-12,Planning Commission,PC23-210,Code Create Vienna: Joint Public Hearing (Day 2) on Draft Chapter 18 - Zoning and Subdivision Ordinance.
2023-07-12,Board of Architectural Review Work Session,BARWS23-073,Special Meeting- Recommendation to Town Council Chapter 18 - Zoning and Subdivision Ordinance.
2023-07-11,Windover Heights Board of Review,23-3907,Discuss the exterior alterations to the existing dwelling located at 125 Pleasant St. NW.
2023-07-10,Planning Commission,PC23-211,Code Create Vienna: Joint Public Hearing (Day 1) on Draft Chapter 18 - Zoning and Subdivision Ordinance.
2023-06-28,Planning Commission Work Session,PCWS23-126,Code Create Vienna: Review of Draft Chapter 18 - Zoning and Subdivision Ordinance
2023-06-15,Board of Architectural Review,BAR23-415,Vienna Public Art Foundation - 120 Cherry St SE - Mural
2023-06-15,Board of Architectural Review,BAR23-410,Bognet Construction - 139 Church St NW - Exterior Modification
2023-06-15,Board of Architectural Review,BAR23-409,Bognet Construction - 139 Church St NW - Signs
2023-06-15,Board of Architectural Review,BAR23-408,Vienna Shopping Center - 160 Maple Ave W - Exterior Modification
2023-06-15,Board of Architectural Review,BAR23-407,The Maple Room - 377 Maple Ave W - Signs
2023-06-15,Board of Architectural Review,BAR23-406,The Maple Room - 377 Maple Ave W - Exterior Modification (Revision)
2023-06-15,Board of Architectural Review,BAR23-405,Town of Vienna Property Yard - 600 Mill St NE - Exterior Modification
2023-06-14,Planning Commission,PC23-209,"Request for approval to amend a conditional use permit to install sixteen (16) cell antennas and equipment including screen wall on the roof of the existing building located at 527 Maple Ave E, located in the C-1, Local Commercial zone. 
  **This item has been deferred by the applicant. Notice will be revised when new meeting date is set.**"
2023-06-14,Planning Commission,PC23-208,Code Create Vienna: Review of Draft Chapter 18 - Zoning and Subdivision Ordinance
2023-06-14,Board of Architectural Review Work Session,BARWS23-071,Sign Ordinance update for Code Create - Work Session
2023-06-09,Board of Architectural Review Work Session,BARWS23-070,AT&T Antennas - 527 Maple Ave E - Work Session
2023-05-24,Planning Commission,PC23-207,CERTIFICATE OF OCCUPANCY - 831 Follin Lane SE
2023-05-18,Board of Architectural Review,BAR23-404,FB Meekins Pre-School- 900 Maple Ave E - Exterior Modification
2023-05-18,Board of Architectural Review,BAR23-403,Symmetry Salon - 262 Cedar Ln SE Ste N - Exterior Modifications
2023-05-18,Board of Architectural Review,BAR23-402,Yellow Diner - 501 Maple Ave W - Exterior Modification
2023-05-18,Board of Architectural Review,BAR23-401,Bruster’s Ice Cream - 237 Maple Ave E - Exterior Modification (Revision)
2023-05-18,Board of Architectural Review,BAR23-400,Chase Bank - 315 Maple Ave E - Exterior Modification (Revision)
2023-05-18,Board of Architectural Review,BAR23-399,Karmouche Café - 305 Maple Ave W - Exterior Modification
2023-05-18,Board of Architectural Review,BAR23-398,Principle Gallery - 120 Church St NE - Sign
2023-05-18,Board of Architectural Review,BAR23-397,Symmetry Salon - 262 Cedar Ln SE Ste N - Sign
2023-05-18,Board of Architectural Review,BAR23-396,Vienna Matclub Inc - 319 Mill St NE - Sign
2023-05-18,Board of Architectural Review,BAR23-395,Benjamin Moore - 203 Maple Ave W - Exterior Modifications
2023-05-17,Board of Zoning Appeals,BZA-23092,"309 Moorefield Rd, SW - Request for approval of a variance from Sec. 18-33. - Area requirements., E. Rear yard., of the Zoning Code, to construct a screened porch on the rear of an existing single-family dwelling located at 309 Moorefield Rd, SW, in the RS-10, Single-Family Detached Residential zone. The Zoning Code requires a rear setback of 35’; if approved, the screened porch will have a 21.5’ setback from the property line for a width of 13’. Application filed by Susan and Bruce Olson, property owners."
2023-05-12,Board of Architectural Review Work Session,BARWS23-068,120 Cherry St SE - Vienna Community Center Wall Mural - Work Session
2023-05-10,Planning Commission,PC23-206,Code Create Discussion: Articles 5A & 5B - Development Standards
2023-05-10,Planning Commission,PC23-205,Amend Planning Commission Bylaws and Rules of Procedure
2023-05-05,Board of Architectural Review Work Session,BARWS23-067,127-133 Park St NE - Vienna Courts - Work Session
2023-05-02,Windover Heights Board of Review,23-3776,"Request for a Certificate of Appropriateness to construct a 6 ft. wood fence on the property located at 246 Lawyers Rd NW, Docket No. PF-995193-WHBR, in the RS-16, single-family detached residential zoning district; filed by Meghan Yurchisin, owner."
2023-04-26,Planning Commission,PC23-203,Review of Town Council April 17th discussion of Article 2 and Article 3 provisions
2023-04-26,Planning Commission,PC23-202,Amend Planning Commission Bylaws and Rules of Procedure
2023-04-26,Planning Commission,PC23-201,Code Create Discussion: Articles 5A & 5B - Development Standards
2023-04-26,Board of Architectural Review Work Session,BARWS23-066,120 Cherry St SE - Vienna Community Center Wall Mural - Work Session
2023-04-20,Board of Architectural Review,BAR23-394,Dukas Properties - 527 Maple Ave E - Pylon Sign
2023-04-20,Board of Architectural Review,BAR23-393,Townhouse - 911 Moorefield Hill Grove SW- Exterior Modification
2023-04-20,Board of Architectural Review,BAR23-392,Windover Square- 203 Maple Ave W (106 Lawyers Rd NW-Legal Address) - Exterior Modifications
2023-04-20,Board of Architectural Review,BAR23-391,Council Square Townhouse - 516 Council Ct NE - Exterior Modifications
2023-04-20,Board of Architectural Review,BAR23-390,Courthouse Cottages -117 Courthouse Rd SW - Exterior Modification
2023-04-12,Planning Commission,PC23-200,Code Create Discussion: Articles 4 & 5 - Development Standards
2023-04-12,Planning Commission,23-3717,Amend Planning Commission Bylaws and Rules of Procedure
2023-04-12,Planning Commission,23-3717,Amend Planning Commission Bylaws and Rules of Procedure
2023-04-11,Windover Heights Board of Review,23-3722,"Request for a Certificate of Appropriateness for exterior modifications to existing dwelling located at 220 Lawyers Rd. NW, per Sec. 18-280.4., Docket No. PF-923578-WHBR, in the RS-16, single-family detached residential zoning district; filed by Anwar Maharmeh, of MTES Engineering Service, on behalf of Kemal Atam, property owner."
2023-03-22,Planning Commission Work Session,PCWS23-125,Training and refresher for Planning Commissioners on rules and use of Parliamentary Procedures (Robert’s Rules of Order) during Planning Commission Meetings
2023-03-16,Board of Architectural Review,BAR23-389,Tobacco Vape King - 332 Maple Ave W - Signs
2023-03-16,Board of Architectural Review,BAR23-388,Vienna Matclub Inc. - 319 Mill St NE - Sign
2023-03-16,Board of Architectural Review,BAR23-387,Pizza Vienna - 235 Maple Ave E - Sign
2023-03-16,Board of Architectural Review,BAR23-386,4U Nails - 155 Glyndon St SE - Signs
2023-03-16,Board of Architectural Review,BAR23-385,Monarch - 374 Maple Ave E - Signs
2023-03-16,Board of Architectural Review,BAR23-384,Conte’s Bike Shop - 204 Mill St NE - Signs
2023-03-15,Board of Zoning Appeals,BZA-23090,"101 Cedar Ln. SW - Request for approval of a variance from Sec. 18-17. - Fences., (a) Any fence from the rear lot line to and including the front line of the building shall be no more than six feet (6’) high, of the Zoning Code, to construct a ten-foot (10’) fence on the northeast end of the multi-sport court located at the Cedar Lane School, at 101 Cedar Ln. SW, in the RS-12.5 and RS-10, Single-Family Detached Residential zone. The Zoning Code requires fences within the Town of Vienna be below 6’ in height. Application filed by Navdeep Kaur of Fairfax County Public Schools, and Oscar Leon, of Vienna Youth Soccer."
2023-03-15,Board of Zoning Appeals,BZA-23089,"311 Valeview Ct. NW - Request for approval of a variance from Sec. 18-24. - Area requirements. E. Rear yard., of the Zoning Code, to construct a sunroom on an existing single-family dwelling located at 311 Valeview Ct. NW, in the RS-12.5, Single-Family Detached Residential zone. The Zoning Code requires a rear setback of 35’. Approval for construction of the sunroom would result in an encroachment of 9.6’, thereby having a rear yard setback of 25.4’ on the property. Application filed by David Jacobstein and Eleonora Ibrani, property owners."
